,Day,Trial,RWeight,RCompliance,RWidth,Object,NInitialWidthDifference,NEndingWidthDifference,NSWidth,NWidthDifference,NForce
72,1,72,3,2,2,t,0.144598177,0.301087595,0.56887293,0.228533709,0.41288657
73,1,73,3,2,2,r,0.120825257,0.503396986,0.807447542,0.335695798,0.364125593
74,1,74,2,3,3,h,0.261323887,0.082646014,0.188320536,0.183820592,0.717633584
75,1,75,2,1,1,3,0.329345186,0.74250007,0.351602199,0.646846283,0.071559733
76,1,76,1,1,1,2,0.433638571,1,0.719474857,0.888130352,0.083759068
77,1,77,3,2,3,l,0.088563599,0.003578718,0.134652069,0,0.778575714
78,1,78,1,2,1,7,0.06659537,0.101741829,0.865844862,0.043861935,0.071559733
79,1,79,2,1,1,q,0.087694673,0.315150837,1,0.192905658,0.340854135
80,1,80,1,2,2,7,0.150792059,0.098917997,0.884151131,0.107752706,0.059378579
81,1,81,3,3,3,l,0.120401934,0.006262756,0.175015629,0.026490872,0.778575714
82,2,1,3,1,1,j,0.064437617,0,0.934632333,0.01470758,0.95471525
83,2,2,3,3,2,f,0.153652795,0.125084301,0.826598166,0.146548171,0.98153221
84,2,3,1,2,1,4,0.064437617,0.398963547,0.890691895,0.200052763,0.096126876
85,2,4,2,3,3,i,0.066811635,0.053739396,0.490696072,0.041633003,0.499705092
86,2,5,1,3,2,8,0.044607589,0.11017641,0.495395025,0.049497931,0.141411626
87,2,6,1,3,3,6,0.107149982,0.506655308,0.211285843,0.28536332,0.1592896
88,2,7,2,2,2,i,0.035650162,0.10162212,0.480504563,0.038120991,0.476033816
89,2,8,2,2,1,r,0.068088417,0.473680474,0.842929641,0.237761546,0.501841536
90,2,9,3,1,2,d,0.655707617,0.324282114,0.213123656,0.654025623,0.865338489
91,2,10,1,1,1,q,0.176315684,0.544102509,0.981204185,0.359907006,0.507844551
92,2,11,1,2,1,7,0.07734509,0.059099137,0.872292881,0.052828571,0.08375385
93,2,12,3,2,3,h,0.200075809,0.269690839,0.136248773,0.252089894,0.91897241
94,2,13,3,3,1,1,0.161632686,0.59816136,0.906146231,0.3728998,0.114607772
